1	1	2	2	4018	1
2	1	4	3	4958	10
2	2	4	4	3875	11
3	1	8	6	2875	110
3	2	8	7	2634	110
3	3	8	8	4517	111
4	1	16	7	4771	1000
4	2	16	11	6071	1100
4	3	16	15	7058	1110
4	4	16	16	10226	1111
5	1	32	12	3626	01010
5	2	32	16	7630	11000
5	3	32	26	7088	11100
5	4	32	31	9983	11110
5	5	32	32	10528	11111
6	1	64	28	4100	101001
6	2	64	26	8443	100100
6	3	64	52	12035	110110
6	4	64	57	10331	111010
6	5	64	64	11795	111111
6	6	64	64	9791	111111
7	1	128	22	9889	1001000
7	2	128	55	6004	0110010
7	3	128	84	11578	1110100
7	4	128	114	9516	1110101
7	5	128	120	9170	1101110
7	6	128	127	14163	1111101
7	7	128	128	16936	1111111
8	1	256	90	7753	01001101
8	2	256	121	8355	11000110
8	3	256	93	7495	11000001
8	4	256	197	12636	11110001
8	5	256	256	12773	11111111
8	6	256	256	19065	11111111
8	7	256	256	16852	11111111
8	8	256	256	14370	11111111
9	1	512	110	11276	110001010
9	2	512	202	9263	110011110
9	3	512	151	8820	011010001
9	4	512	321	13348	110100010
9	5	512	438	20895	111000111
9	6	512	508	12954	111111101
9	7	512	512	13862	111111111
9	8	512	512	16473	111111111
10	1	1024	38	18773	0010000000
10	2	1024	319	12222	1001011001
10	3	1024	330	14472	1100000101
10	4	1024	652	14267	1111101000
10	5	1024	960	12811	1111100111
10	6	1024	1016	17058	1110111111
10	7	1024	1020	19911	1111111011
10	8	1024	1024	17707	1111111111
11	1	2048	48	19939	10000000001
11	2	2048	560	13171	11001010001
11	3	2048	830	14041	10010010011
11	4	2048	779	15556	11011000001
11	5	2048	1696	18559	11111010100
11	6	2048	1695	19367	11001110101
11	7	2048	2048	11720	11111111111
11	8	2048	2048	17182	11111111111
12	1	4096	390	13740	010100110010
12	2	4096	322	14195	110000010001
12	3	4096	1411	13193	001010111001
12	4	4096	2544	15139	111110010010
12	5	4096	2508	18312	111011100001
12	6	4096	3666	21576	011111101101
12	7	4096	3736	21252	111011101011
12	8	4096	4052	22657	111111111100
13	1	8192	453	16129	1001001010000
13	2	8192	405	9924	1100001000100
13	3	8192	1113	20236	1101000000001
13	4	8192	3603	19475	1011010101010
13	5	8192	6097	17333	0011111010111
13	6	8192	5706	17998	1111100100011
13	7	8192	7024	20500	1110110111001
13	8	8192	7834	20819	1110011101111
14	1	16384	600	13187	11000000010110
14	2	16384	1912	15720	11010100101011
14	3	16384	3302	21990	11010100010011
14	4	16384	2515	16296	11011000010000
14	5	16384	7046	17365	11100110011000
